# tempo_detrend fluxo_detrend
1330.748610 0.999788
1330.749999 1.000045
1330.751388 0.999791
1330.752777 0.999904
1330.754166 0.999917
1330.755554 0.999385
1330.756943 0.999509
1330.758332 0.999554
1330.759721 0.999797
1330.761110 0.999572
1330.762499 0.999770
1330.763888 1.000117
1330.765277 0.999855
1330.766666 0.999793
1330.768054 0.999346
1330.769443 0.999368
1330.770832 0.999752
1330.772221 0.999740
1330.773610 0.999086
1330.774999 0.999519
1330.776388 0.999795
1330.777777 1.000434
1330.779165 0.999694
1330.780554 1.000021
1330.781943 0.999813
1330.783332 0.999565
1330.784721 0.999649
1330.786110 0.999461
1330.787499 0.999670
1330.788888 0.999822
1330.790277 1.000130
1330.791665 0.999384
1330.793054 0.999735
1330.794443 0.999803
1330.795832 0.999985
1330.797221 0.999658
1330.798610 0.999255
1330.799999 0.999755
1330.801388 0.999440
1330.802776 1.002384
1330.804165 1.002746
1330.805554 1.001875
1330.806943 1.001776
1330.808332 1.001921
1330.809721 1.001301
1330.811110 1.001506
1330.812499 1.001461
1330.813888 1.001720
1330.815276 1.001671
1330.816665 1.001925
1330.818054 1.001415
1330.819443 1.001820
1330.820832 1.001536
1330.822221 1.001704
1330.823610 1.001684
1330.824999 1.001467
1330.826387 1.000927
1330.827776 1.001106
1330.829165 1.001298
1330.830554 1.000687
1330.831943 1.000556
1330.833332 1.000642
1330.834721 1.000941
1330.836110 1.000465
1330.837499 1.000631
1330.838887 1.000533
1330.840276 1.000505
1330.841665 1.000460
1330.843054 1.000167
1330.844443 1.000443
1330.845832 0.999848
1330.847221 1.000479
1330.848610 1.000142
1330.849999 0.999991
1330.851387 0.999958
1330.852776 0.999773
1330.854165 1.000467
1330.855554 1.000383
1330.856943 0.999822
1330.858332 0.999997
1330.859721 0.999988
1330.861110 0.999959
1330.862498 0.999826
1330.863887 0.999834
1330.865276 0.999240
1330.866665 1.000248
1330.868054 0.999826
1330.869443 0.999838
1330.870832 0.999442
1330.872221 0.999872
1330.873610 0.999884
1330.874998 0.999596
1330.876387 0.999240
1330.877776 1.000155
1330.879165 1.000146
1330.880554 0.999243
1330.881943 0.999475
1330.883332 0.999661
1330.884721 0.999291
1330.886109 0.999422
1330.887498 0.999275
1330.888887 0.999560
1330.890276 0.999368
1330.891665 1.000235
1330.893054 0.999269
1330.894443 0.999722
1330.895832 0.999735
1330.897221 0.999590
1330.898609 0.999689
1330.899998 1.000222
1330.901387 0.999967
1330.902776 0.999861
1330.904165 0.999731
1330.905554 0.999429
1330.906943 1.000247
1330.908332 1.000107
1330.909720 1.001250
1330.911109 1.000641
1330.912498 1.000733
1330.913887 1.000524
1330.915276 1.001331
1330.916665 1.000716
1330.918054 1.001000
1330.919443 1.000613
1330.920832 1.000983
1330.922220 1.000474
1330.923609 1.000906
1330.924998 1.000860
1330.926387 1.000449
1330.927776 1.000209
1330.929165 1.000476
1330.930554 1.000653
1330.931943 0.999990
1330.933331 1.000526
1330.934720 1.000486
1330.936109 1.000541
1330.937498 0.999847
1330.938887 1.000341
1330.940276 1.000069
1330.941665 0.999854
1330.943054 0.999729
1330.944443 0.999472
1330.945831 1.000023
1330.947220 0.999600
1330.948609 1.000108
1330.949998 0.999810
1330.951387 0.999654
1330.952776 0.999476
1330.954165 0.999847
1330.955554 0.999985
1330.956942 0.999528
1330.958331 0.999326
1330.959720 0.999900
1330.961109 0.999406
1330.962498 0.999878
1330.963887 1.000121
1330.965276 0.999849
1330.966665 0.999330
1330.968054 0.999889
1330.969442 1.000195
1330.970831 1.000131
1330.972220 0.999640
1330.973609 0.999952
1330.974998 1.000009
1330.976387 0.999912
1330.977776 1.000259
1330.979165 1.000334
1330.980554 0.999855
1330.981942 1.000688
1330.983331 0.999889
1330.984720 0.999749
1330.986109 0.999898
1330.987498 0.999724
1330.988887 0.999808
1330.990276 1.000441
1330.991665 0.999622
1330.993053 0.999849
1330.994442 0.999859
1330.995831 0.999960
1330.997220 1.000004
1330.998609 1.000159
1330.999998 0.999891
1331.001387 0.999990
1331.002776 0.999945
1331.004165 0.999796
1331.005553 1.000189
1331.006942 0.999990
1331.008331 0.999611
1331.009720 1.000112
1331.011109 1.000042
1331.012498 0.999683
1331.013887 1.000231
1331.015276 0.999796
1331.016664 1.000501
1331.018053 1.000080
1331.019442 0.999520
1331.020831 0.999731
1331.022220 0.999762
1331.023609 1.000267
1331.024998 0.999624
1331.026387 0.999973
1331.027776 1.000687
1331.029164 0.999699
1331.030553 0.999524
1331.031942 1.000040
1331.033331 1.000301
1331.034720 0.999889
1331.036109 0.999720
1331.037498 1.000369
1331.038887 1.000109
1331.040275 1.000027
1331.041664 0.999758
1331.043053 0.999684
1331.044442 0.999965
1331.045831 0.999777
1331.047220 0.999934
1331.048609 1.000039
1331.049998 0.999525
1331.051387 1.000280
1331.052775 1.000060
1331.054164 1.000168
1331.055553 0.999369
1331.056942 1.000085
1331.058331 0.999748
1331.059720 1.000523
1331.061109 0.999755
1331.062498 1.000103
1331.063886 0.999931
1331.065275 1.000297
1331.066664 0.999642
1331.068053 0.999880
1331.069442 1.000005
1331.070831 0.999993
1331.072220 1.000309
1331.073609 0.999799
1331.074998 1.000152
1331.076386 1.000294
1331.077775 0.999796
1331.079164 1.000168
1331.080553 0.999527
1331.081942 1.000026
1331.083331 1.000798
1331.084720 1.000026
1331.086109 1.000030
1331.087497 1.000051
1331.088886 1.000418
1331.090275 0.999694
1331.091664 1.000060
1331.093053 1.000238
1331.094442 0.999965
1331.095831 0.999881
1331.097220 1.000310
1331.098609 0.999854
1331.099997 0.999759
1331.101386 1.000512
1331.102775 0.999333
1331.104164 1.000186
1331.105553 0.999375
1331.106942 1.000217
1331.108331 0.999748
1331.109720 1.000035
1331.111108 1.000569
1331.112497 0.999893
1331.113886 0.999789
1331.115275 1.000159
1331.116664 0.999938
1331.118053 1.000199
1331.119442 0.999963
1331.120831 1.000153
1331.122220 0.999940
1331.123608 1.000000
1331.124997 1.000050
1331.126386 1.000144
1331.127775 0.999647
1331.129164 0.999951
1331.130553 1.000086
1331.131942 1.000019
1331.133331 1.000215
1331.134719 1.000217
1331.136108 0.999438
1331.137497 0.999890
1331.138886 0.999636
1331.140275 0.999840
1331.141664 1.000363
1331.143053 0.999997
1331.144442 1.000033
1331.145831 0.999935
1331.147219 0.999625
1331.148608 1.000312
1331.149997 0.999971
1331.151386 1.000124
1331.152775 0.999965
1331.154164 0.999323
1331.155553 0.999996
1331.156942 1.000570
1331.158330 0.999656
1331.159719 1.000192
1331.161108 0.999814
1331.162497 0.999934
1331.163886 1.000117
1331.165275 1.000192
1331.166664 1.000174
1331.168053 1.000038
1331.169442 0.999598
1331.170830 0.999787
1331.172219 1.000172
1331.173608 0.999952
1331.174997 0.999392
1331.176386 1.000332
1331.177775 1.000214
1331.179164 1.000174
1331.180553 0.999770
1331.181941 1.000002
1331.183330 1.000123
1331.184719 0.999762
1331.186108 0.999948
1331.187497 0.999814
1331.188886 0.999886
1331.190275 0.999762
1331.191664 1.000374
1331.193053 0.999690
1331.194441 1.000199
1331.195830 1.000276
1331.197219 0.999965
1331.199997 1.000348
1331.201386 0.999977
1331.202775 0.999887
1331.204164 0.999811
1331.205553 0.999930
1331.206941 1.000023
1331.208330 1.000232
1331.209719 1.000022
1331.211108 0.999661
1331.212497 0.999986
1331.213886 1.000251
1331.215275 0.999616
1331.216664 1.000017
1331.218052 0.999564
1331.219441 0.999816
1331.220830 1.000223
1331.222219 0.999826
1331.223608 0.999108
1331.224997 1.000032
1331.226386 0.999736
1331.227775 1.000391
1331.229164 1.000411
1331.230552 0.999540
1331.231941 1.000136
1331.233330 0.999604
1331.236108 1.000298
1331.237497 1.000114
1331.238886 1.000064
1331.240275 1.000262
1331.241663 1.000260
1331.243052 1.000422
1331.244441 1.000540
1331.245830 1.000319
1331.247219 0.999660
1331.248608 0.999935
1331.249997 1.000498
1331.251386 1.000749
1331.252775 1.000535
1331.254163 1.000125
1331.255552 1.000384
1331.256941 1.000389
1331.258330 1.000453
