banda,bjd_tdb,fluxo,erro,base,fluxo_corrigido
g,2461275.711848711,0.9962699525943319,0.0012194911844915035,0.9966376684098276,0.999631043630849
g,2461275.712907656,0.9953204573069612,0.0008976312446160055,0.9966628501001613,0.9986531124411177
g,2461275.713937929,0.9976400458389042,0.0015003366263610376,0.996689255411741,1.0009539487076846
g,2461275.714965505,0.9968040725708057,0.0009418434225732479,0.9967174999152973,1.000086857766133
g,2461275.7160254763,0.9973133765127131,0.0010353857933098065,0.9967486745487211,1.0005665439828628
g,2461275.7170612114,0.9961115790780051,0.0010818252350943964,0.9967811791009692,0.9993282376944878
g,2461275.718086429,0.9988424168780106,0.001213056057546116,0.9968153823335132,1.002033510497954
g,2461275.7191441073,0.9954112506357686,0.0010251990838940446,0.9968528286919928,0.9985538707272209
g,2461275.720199549,0.9993080199882868,0.0005507483702481524,0.996892429076595,1.0024231209318435
g,2461275.721227005,0.9964695914002158,0.0008969773663234015,0.9969331699809405,0.9995349953289913
g,2461275.7222543485,0.9972765260541702,0.0010414388478236433,0.9969761120537228,1.000301325174009
g,2461275.7233146136,0.9955377386341974,0.0011091754024840905,0.9970227939462434,0.9985105101698145
g,2461275.7243439094,0.9946994523999181,0.001102735847072909,0.9970704593889642,0.997622026641428
g,2461275.7253763615,0.996872371168502,0.0010353646803394404,0.9971206449380947,0.9997510092977685
g,2461275.7264341344,0.9959457145918246,0.0014503282121227914,0.9971745839761654,0.998767648710579
g,2461275.727465267,0.9988874969254804,0.0013749854965484178,0.9972296766103033,1.0016624257721773
g,2461275.728492976,0.996053368815069,0.00124911081535446,0.9972871080238537,0.9987629046852623
g,2461275.7295504385,0.9994225569824279,0.0013504177370651516,0.9973488926324762,1.0020791764700097
g,2461275.7306072502,0.9956223341884213,0.0008968581593068046,0.997413429839245,0.9982042595404873
g,2461275.73163442,0.99836857075213,0.0013764391906817938,0.9974788925924591,1.0008919268029408
g,2461275.7326640617,0.9961003999583694,0.0013529044604048345,0.9975472805131617,0.9985495619274828
g,2461275.7337234854,0.9996864288639209,0.0011883295526240473,0.9976206102000351,1.0020707457752618
g,2461275.7347798916,0.9996620436091151,0.0013822050235040109,0.997696797192214,1.0019697832271606
g,2461275.735809142,0.9984998978254773,0.0011491052715224624,0.997774041823584,1.0007274753315558
g,2461275.736838867,0.9982091284022041,0.0015384154459237983,0.9978543705411783,1.0003555206766628
g,2461275.7378974073,1.000599029607265,0.0012271089037368575,0.9979402069623299,1.0026643105733044
