# AU Mic b - empilhamento em fase (5 transitos)
# T0_ref=1330.390510  P_ref=8.4631516
# dt_dias  fluxo_normalizado  epoca
-0.04440691 0.99643719 84
-0.04409530 0.99607583 86
-0.04351060 0.99924659 2
-0.04348904 0.99721670 85
-0.04301799 0.99630947 84
-0.04270641 0.99620794 86
-0.04212175 0.99892107 2
-0.04210013 0.99692661 85
-0.04162906 0.99630665 84
-0.04131752 0.99625746 86
-0.04073290 0.99878046 2
-0.04071123 0.99635597 85
-0.04024014 0.99617582 84
-0.03992863 0.99627045 86
-0.03934406 0.99858124 2
-0.03932233 0.99646017 85
-0.03885121 0.99699498 84
-0.03853973 0.99625807 86
-0.03795521 0.99846216 2
-0.03793343 0.99664717 85
-0.03773462 0.99688786 0
-0.03746229 0.99677898 84
-0.03715084 0.99663238 86
-0.03656637 0.99742483 2
-0.03654452 0.99639841 85
-0.03634574 0.99720799 0
-0.03607337 0.99712881 84
-0.03576195 0.99631054 86
-0.03517752 0.99789476 2
-0.03515562 0.99745807 85
-0.03495686 0.99685081 0
-0.03468444 0.99710583 84
-0.03437306 0.99648788 86
-0.03378868 0.99784552 2
-0.03376672 0.99729835 85
-0.03356798 0.99665924 0
-0.03329552 0.99700061 84
-0.03298417 0.99617706 86
-0.03239983 0.99743040 2
-0.03237781 0.99719984 85
-0.03217910 0.99713263 0
-0.03190659 0.99668163 84
-0.03159528 0.99640860 86
-0.03101098 0.99769564 2
-0.03098891 0.99744734 85
-0.03079021 0.99669193 0
-0.03051767 0.99663263 84
-0.03020639 0.99594399 86
-0.02962214 0.99774473 2
-0.02960001 0.99693697 85
-0.02940133 0.99696232 0
-0.02912874 0.99614973 84
-0.02881750 0.99609532 86
-0.02823329 0.99725393 2
-0.02821110 0.99730361 85
-0.02801245 0.99660094 0
-0.02773982 0.99716041 84
-0.02742861 0.99627688 86
-0.02684445 0.99703055 2
-0.02682220 0.99719264 85
-0.02662357 0.99695317 0
-0.02635089 0.99692463 84
-0.02603972 0.99582084 86
-0.02545560 0.99674911 2
-0.02543330 0.99689436 85
-0.02523469 0.99659487 0
-0.02496197 0.99706022 84
-0.02465083 0.99615328 86
-0.02406675 0.99666388 2
-0.02404440 0.99637621 85
-0.02384581 0.99644981 0
-0.02357305 0.99733863 84
-0.02326194 0.99600489 86
-0.02267791 0.99676460 2
-0.02265549 0.99629753 85
-0.02245693 0.99603558 0
-0.02218412 0.99678683 84
-0.02187305 0.99552581 86
-0.02128906 0.99678576 2
-0.02126659 0.99937776 85
-0.02106804 0.99679066 0
-0.02079520 0.99737587 84
-0.02048416 0.99611878 86
-0.01990022 0.99682183 2
-0.01987769 1.00305632 85
-0.01967916 0.99723652 0
-0.01940627 0.99714374 84
-0.01909527 0.99629463 86
-0.01851137 0.99592060 2
-0.01848878 1.00029772 85
-0.01829028 0.99748852 0
-0.01801735 0.99707923 84
-0.01770638 0.99608416 86
-0.01712252 0.99668463 2
-0.01709988 0.99914580 85
-0.01690140 0.99746438 0
-0.01662842 0.99673544 84
-0.01631749 0.99585609 86
-0.01573368 0.99642922 2
-0.01571098 0.99878114 85
-0.01551252 0.99733871 0
-0.01523950 0.99670168 84
-0.01492860 0.99596385 86
-0.01434483 0.99640561 2
-0.01432208 0.99832601 85
-0.01412364 0.99717117 0
-0.01385057 0.99653158 84
-0.01353971 0.99572563 86
-0.01295599 0.99652708 2
-0.01293317 0.99803524 85
-0.01273476 0.99762498 0
-0.01246165 0.99687043 84
-0.01215082 0.99564573 86
-0.01156714 0.99644194 2
-0.01154427 0.99801509 85
-0.01134588 0.99748871 0
-0.01107273 0.99687170 84
-0.01076193 0.99577032 86
-0.01017830 0.99642610 2
-0.01015537 0.99736652 85
-0.00995699 0.99756347 0
-0.00968380 0.99677841 84
-0.00937304 0.99589430 86
-0.00878945 0.99663904 2
-0.00876646 0.99769653 85
-0.00856811 0.99700386 0
-0.00829488 0.99704593 84
-0.00798415 0.99543217 86
-0.00740060 0.99655003 2
-0.00737756 0.99712125 85
-0.00717923 0.99713284 0
-0.00690595 0.99681663 84
-0.00659526 0.99553358 86
-0.00601176 0.99732632 2
-0.00598866 0.99701880 85
-0.00579035 0.99730578 0
-0.00551703 0.99672196 84
-0.00520636 0.99502850 86
-0.00462291 0.99684151 2
-0.00459975 0.99870448 85
-0.00440147 0.99673419 0
-0.00412810 0.99637176 84
-0.00381747 0.99567815 86
-0.00323407 0.99681124 2
-0.00321085 0.99855480 85
-0.00301259 0.99653613 0
-0.00273918 0.99621376 84
-0.00242858 0.99565440 86
-0.00184522 0.99639665 2
-0.00182195 0.99774438 85
-0.00162371 0.99686165 0
-0.00135026 0.99664622 84
-0.00103969 0.99606445 86
-0.00045638 0.99653219 2
-0.00043305 0.99743350 85
-0.00023483 0.99668656 0
0.00003867 0.99701052 84
0.00034920 0.99595981 86
0.00093247 0.99688721 2
0.00095586 0.99731473 85
0.00115406 0.99680141 0
0.00142759 0.99669341 84
0.00173809 0.99582439 86
0.00232132 0.99686394 2
0.00234476 0.99756296 85
0.00254294 0.99682487 0
0.00281652 0.99623019 84
0.00312698 0.99587304 86
0.00373366 0.99784509 85
0.00393182 0.99667541 0
0.00420544 0.99659036 84
0.00451587 0.99580301 86
0.00509901 0.99615530 2
0.00512257 0.99778243 85
0.00532070 0.99621129 0
0.00559437 0.99758349 84
0.00590476 0.99557556 86
0.00648785 0.99709002 2
0.00651147 0.99725260 85
0.00670958 0.99653156 0
0.00698329 0.99685564 84
0.00729365 0.99543790 86
0.00787670 0.99696240 2
0.00790037 0.99732216 85
