# AU Mic b - todos os transitos extraidos dos setores 1 e 27
# T0_ref=1330.390510  P_ref=8.4631516  janela=+/-0.25 d  N_transitos=5  N_pontos=1739
# tempo_BTJD  dt_dias  fluxo_residual  fluxo_normalizado  epoca  setor
1330.59166294 0.20115294 0.99968277 0.99971724 0 12018
1330.59305183 0.20254183 1.00002201 1.00005649 0 12018
1330.59444071 0.20393071 1.00003607 1.00007056 0 12018
1330.59582959 0.20531959 0.99989113 0.99992561 0 12018
1330.59721847 0.20670847 0.99968337 0.99971785 0 12018
1330.59860735 0.20809735 0.99948777 0.99952224 0 12018
1330.59999623 0.20948623 0.99975036 0.99978483 0 12018
1330.60138511 0.21087511 0.99969823 0.99973270 0 12018
1330.60277399 0.21226399 0.99947694 0.99951141 0 12018
1330.60416287 0.21365287 0.99975234 0.99978682 0 12018
1330.60555175 0.21504175 1.00029052 1.00032501 0 12018
1330.60694064 0.21643064 0.99954761 0.99958208 0 12018
1330.60832952 0.21781952 0.99993370 0.99996818 0 12018
1330.60971840 0.21920840 0.99963315 0.99966763 0 12018
1330.61110728 0.22059728 0.99982049 0.99985497 0 12018
1330.61249616 0.22198616 1.00012890 1.00016340 0 12018
1330.61388504 0.22337504 0.99938517 0.99941963 0 12018
1330.61527392 0.22476392 0.99952323 0.99955770 0 12018
1330.61666280 0.22615280 1.00013019 1.00016468 0 12018
1330.61805168 0.22754168 0.99975231 0.99978679 0 12018
1330.61944056 0.22893056 1.00007479 1.00010928 0 12018
1330.62082945 0.23031945 1.00034062 1.00037512 0 12018
1330.62221833 0.23170833 1.00048471 1.00051921 0 12018
1330.62360721 0.23309721 0.99979370 0.99982817 0 12018
1330.62499609 0.23448609 1.00061106 1.00064556 0 12018
1330.62638497 0.23587497 1.00021818 1.00025268 0 12018
1330.62777385 0.23726385 1.00069405 1.00072856 0 12018
1330.62916273 0.23865273 1.00016656 1.00020105 0 12018
1330.63055161 0.24004161 1.00012514 1.00015963 0 12018
1330.63194049 0.24143049 1.00046033 1.00049484 0 12018
1330.63332937 0.24281937 1.00071810 1.00075261 0 12018
1330.63471826 0.24420826 1.00088627 1.00092079 0 12018
1330.63610714 0.24559714 1.00006802 1.00010250 0 12018
1330.63749602 0.24698602 1.00029266 1.00032715 0 12018
1330.63888490 0.24837490 1.00023870 1.00027320 0 12018
1330.64027378 0.24976378 1.00005492 1.00008941 0 12018
1347.06914224 -0.24767096 0.99968615 0.99996027 2 12018
1347.07053109 -0.24628211 0.99950349 0.99977756 2 12018
1347.07191993 -0.24489327 0.99950030 0.99977436 2 12018
1347.07330878 -0.24350442 0.99945145 0.99972550 2 12018
1347.07469762 -0.24211558 0.99955776 0.99983184 2 12018
1347.07747532 -0.23933788 0.99987018 1.00014434 2 12018
1347.07886416 -0.23794904 0.99947743 0.99975148 2 12018
1347.08025301 -0.23656019 0.99924826 0.99952225 2 12018
1347.08164185 -0.23517135 0.99899216 0.99926608 2 12018
1347.08303070 -0.23378250 0.99924344 0.99951743 2 12018
1347.08441955 -0.23239365 0.99948607 0.99976012 2 12018
1347.08580839 -0.23100481 0.99916762 0.99944158 2 12018
1347.08719724 -0.22961596 0.99940437 0.99967841 2 12018
1347.08858609 -0.22822711 0.99940062 0.99967465 2 12018
1347.08997493 -0.22683827 0.99867106 0.99894490 2 12018
1347.09136378 -0.22544942 0.99917635 0.99945032 2 12018
1347.09275262 -0.22406058 0.99923663 0.99951062 2 12018
1347.09414147 -0.22267173 0.99948833 0.99976238 2 12018
1347.09553032 -0.22128288 0.99968718 0.99996129 2 12018
1347.09691916 -0.21989404 0.99976714 1.00004127 2 12018
1347.09830801 -0.21850519 1.00009121 1.00036543 2 12018
1347.09969685 -0.21711635 0.99955464 0.99982871 2 12018
1347.10108570 -0.21572750 0.99977349 1.00004762 2 12018
1347.10247455 -0.21433865 1.00048373 1.00075806 2 12018
1347.10386339 -0.21294981 1.00046831 1.00074263 2 12018
1347.10525224 -0.21156096 1.00024327 1.00051754 2 12018
1347.10664108 -0.21017212 0.99912950 0.99940346 2 12018
1347.10802993 -0.20878327 1.00002574 1.00029995 2 12018
1347.10941878 -0.20739442 0.99948361 0.99975767 2 12018
1347.11080762 -0.20600558 0.99942957 0.99970361 2 12018
1347.11219647 -0.20461673 1.00001530 1.00028950 2 12018
1347.11358532 -0.20322788 0.99967292 0.99994703 2 12018
1347.11497416 -0.20183904 0.99979155 1.00006569 2 12018
1347.11636301 -0.20045019 1.00022246 1.00049672 2 12018
1347.11775185 -0.19906135 0.99932593 0.99959994 2 12018
1347.11914070 -0.19767250 0.99988419 1.00015835 2 12018
1347.12052955 -0.19628365 0.99966129 0.99993539 2 12018
1347.12191839 -0.19489481 0.99943474 0.99970878 2 12018
1347.12330724 -0.19350596 0.99974761 1.00002173 2 12018
1347.12469608 -0.19211712 0.99957271 0.99984679 2 12018
1347.12608493 -0.19072827 0.99892423 0.99919813 2 12018
1347.12747378 -0.18933942 1.00047091 1.00074523 2 12018
1347.12886262 -0.18795058 0.99901187 0.99928579 2 12018
1347.13025147 -0.18656173 0.99957011 0.99984419 2 12018
1347.13164031 -0.18517289 0.99959062 0.99986471 2 12018
1347.13302916 -0.18378404 0.99961850 0.99989260 2 12018
1347.13441801 -0.18239519 0.99894723 0.99922114 2 12018
1347.13580685 -0.18100635 0.99974342 1.00001755 2 12018
1347.13719570 -0.17961750 0.99923942 0.99951341 2 12018
1347.13858454 -0.17822866 0.99931022 0.99958423 2 12018
1347.13997339 -0.17683981 1.00049608 1.00077041 2 12018
1347.14136224 -0.17545096 0.99958074 0.99985482 2 12018
1347.14275108 -0.17406212 0.99945548 0.99972952 2 12018
1347.14413993 -0.17267327 0.99931285 0.99958686 2 12018
1347.14552877 -0.17128443 0.99946296 0.99973701 2 12018
1347.14691762 -0.16989558 0.99929059 0.99956459 2 12018
1347.14830647 -0.16850673 0.99934846 0.99962248 2 12018
1347.14969531 -0.16711789 0.99941504 0.99968907 2 12018
1347.15108416 -0.16572904 1.00022743 1.00050169 2 12018
1347.15247301 -0.16434019 1.00012935 1.00040359 2 12018
1347.15386185 -0.16295135 0.99903111 0.99930504 2 12018
1347.15525070 -0.16156250 0.99925027 0.99952426 2 12018
1347.15663954 -0.16017366 1.00003451 1.00030872 2 12018
