# tempo_BTJD  residuo_normalizado
3883.88734788  1.00041811
3883.88873677  1.00028343
3883.89012567  0.99991414
3883.89151456  0.99979351
3883.89290346  0.99990448
3883.89429236  1.00019093
3883.89568125  0.99972630
3883.89707015  1.00046268
3883.89845905  1.00040589
3883.89984794  1.00063329
3883.90123684  0.99997819
3883.90262573  0.99980738
3883.90401463  0.99990897
3883.90540352  1.00034118
3883.90679242  1.00021116
3883.90818132  0.99990944
3883.90957021  1.00046634
3883.91095911  1.00012725
3883.91234800  1.00041012
3883.91373690  1.00008985
3883.91512580  1.00074988
3883.91651469  0.99981197
3883.91790359  1.00038852
3883.91929248  0.99965528
3883.92068138  0.99995249
3883.92207028  1.00024126
3883.92345917  1.00050559
3883.92484807  0.99973025
3883.92623696  1.00033595
3883.92762586  0.99997527
3883.92901476  0.99993454
3883.93040365  1.00044153
3883.93179255  0.99976662
3883.93318144  1.00045823
3883.93457034  1.00116300
3883.93595923  0.99988465
3883.93734813  1.00043844
3883.93873703  0.99943944
3883.94012592  1.00085395
3883.94151482  1.00020747
3883.94290371  1.00045930
3883.94568151  1.00249842
3883.94707040  1.00128560
3883.94845930  1.00171109
3883.94984819  1.00128656
3883.95123709  1.00152162
3883.95262598  1.00114161
3883.95401488  1.00139585
3883.95540378  1.00129325
3883.95679267  1.00071240
3883.95818157  1.00114355
3883.95957046  1.00062269
3883.96095936  1.00066094
3883.96234825  1.00076429
3883.96373715  0.99996317
3883.96512605  1.00135694
3883.96651494  1.00051487
3883.96790384  1.00053939
3883.96929273  1.00020468
3883.97068163  1.00039705
3883.97207052  1.00018956
3883.97345942  1.00026035
3883.97484832  1.00014115
3883.97623721  1.00077098
3883.97762611  1.00063851
3883.97901500  1.00017600
3883.98040390  1.00070326
3883.98179279  1.00002207
3883.98318169  0.99985944
3883.98457059  0.99986275
3883.98595948  1.00009185
3883.98734838  1.00045270
3883.98873727  0.99992631
3883.99012617  1.00102712
3883.99151506  1.00070425
3883.99290396  1.00118212
3883.99429285  1.00072913
3883.99568175  1.00025894
3883.99707065  0.99967636
3883.99845954  1.00060262
3883.99984844  1.00025356
3884.00123733  1.00019144
3884.00262623  1.00085746
3884.00401512  1.00089728
3884.00540402  1.00007076
3884.00679291  1.00052406
3884.00818181  1.00054331
3884.00957071  1.00059074
3884.01095960  1.00031564
3884.01234850  1.00020987
3884.01373739  1.00032597
3884.01512629  1.00038606
3884.01651518  1.00036872
3884.01790408  1.00065060
3884.01929298  1.00083645
3884.02068187  1.00066693
3884.02207077  1.00033668
3884.02345966  0.99996001
3884.02484856  0.99960459
3884.02623745  0.99985859
3884.02762635  1.00049423
3884.02901524  1.00107179
3884.03040414  1.00092337
3884.03179303  1.00053175
3884.03318193  1.00051553
3884.03457083  0.99978722
3884.03595972  1.00017496
3884.03734862  1.00014698
3884.03873751  1.00020079
3884.04012641  0.99983363
3884.04151530  1.00031591
3884.04290420  1.00003093
3884.04429309  0.99953816
3884.04568199  0.99994824
3884.04707088  1.00030260
3884.04845978  0.99974801
3884.04984868  1.00001130
3884.05123757  1.00021684
3884.05262647  0.99978900
3884.05401536  1.00041582
3884.05540426  1.00026524
3884.05679315  1.00019832
3884.05818205  0.99997025
3884.05957094  1.00032791
3884.06095984  1.00071491
3884.06234873  1.00017410
3884.06373763  0.99996318
3884.06512652  1.00013287
3884.06651542  1.00010361
3884.06790431  0.99984154
3884.06929321  0.99944204
3884.07068211  0.99983145
3884.07207100  0.99972638
3884.07345990  1.00026641
3884.07484879  0.99996300
3884.07623769  1.00002281
3884.07762658  1.00005261
3884.07901548  1.00027099
3884.08040437  0.99958786
3884.08179327  1.00027816
3884.08318216  1.00016194
3884.08457106  1.00036895
3884.08595995  1.00008738
3884.08734885  1.00002128
3884.08873774  0.99936387
3884.09012664  0.99944072
3884.09151553  0.99979028
3884.09290443  0.99973443
3884.09429333  0.99992549
3884.09568222  0.99957057
3884.09707112  1.00002122
3884.09846001  1.00010180
3884.09984891  1.00019860
3884.10123780  1.00019755
3884.10262670  1.00030770
3884.10401559  1.00011810
3884.10540449  1.00003571
3884.10679338  0.99964600
3884.10818228  0.99970869
3884.10957117  1.00040925
3884.11096007  0.99975750
3884.11234896  0.99994887
3884.11373786  1.00077240
3884.11512675  0.99971462
3884.11651565  1.00007063
3884.11790454  0.99950744
3884.11929344  1.00015608
3884.12068233  0.99996910
3884.12207123  1.00022455
3884.12346012  1.00024054
3884.12484902  1.00024837
3884.12623791  1.00051465
3884.12762681  1.00029878
3884.12901570  1.00019613
3884.13040460  1.00009123
3884.13179349  0.99971607
3884.13318239  1.00026525
3884.13457128  0.99991405
3884.13596018  0.99997782
3884.13734907  1.00037473
3884.13873797  1.00030720
3884.14012686  1.00011122
3884.14151576  0.99996318
3884.14290465  0.99951580
3884.14429355  0.99969758
3884.14568245  0.99998720
3884.14707134  1.00006637
3884.14846024  1.00035480
3884.14984913  1.00040446
3884.15123803  0.99951346
3884.15262692  0.99990008
3884.15401582  0.99976819
3884.15540471  0.99995329
3884.15679361  0.99937329
3884.15818250  1.00005003
3884.15957139  0.99975571
3884.16096029  0.99983964
3884.16234918  0.99936492
3884.16373808  1.00038576
3884.16512697  1.00007012
3884.16651587  0.99957966
3884.16790476  0.99963189
3884.16929366  0.99995892
3884.17068255  0.99986415
3884.17207145  0.99981716
3884.17346034  0.99985178
3884.17484924  0.99950539
3884.17623813  0.99937558
3884.17762703  0.99970057
3884.17901592  0.99968878
3884.18040482  1.00020056
3884.18179371  0.99960108
3884.18318261  0.99968388
3884.18457150  0.99984820
3884.18596040  0.99963289
3884.18734929  1.00039138
3884.18873819  1.00134548
3884.19012708  1.00070144
3884.19151598  1.00076301
3884.19290487  1.00033232
3884.19429377  1.00054227
3884.19568266  1.00013912
3884.19707156  0.99976521
3884.19846045  1.00105544
3884.19984935  0.99983246
3884.20123824  1.00020907
3884.20262714  1.00008611
3884.20401603  1.00023524
3884.20540493  0.99976660
3884.20679382  1.00009112
3884.20818272  1.00073605
3884.20957161  1.00097643
3884.21096051  1.00014107
3884.21234940  1.00049988
3884.21373830  1.00038513
3884.21512719  1.00070082
3884.21651608  1.00053193
3884.21790498  1.00087145
3884.21929387  1.00008239
3884.22068277  1.00023502
3884.22207166  1.00003960
3884.22346056  1.00023377
3884.22484945  1.00023578
3884.22623835  1.00028465
3884.22762724  1.00014247
3884.22901614  1.00062979
3884.23040503  1.00111049
3884.23179393  1.00119062
3884.23318282  1.00149913
3884.23457172  1.00132672
3884.23596061  1.00117860
3884.23734951  1.00182336
